symbol,date,open,high,low,close,volume
AAPL,2026-03-23,181.65,182.08,181.0,181.43,23194598
AAPL,2026-03-24,181.39,183.16,181.0,181.15,73345041
AAPL,2026-03-25,179.57,180.4,178.88,179.96,43756976
AAPL,2026-03-26,181.67,181.95,181.03,181.52,40149901
AAPL,2026-03-27,185.61,186.4,185.44,185.6,53414966
AAPL,2026-03-30,184.54,186.21,183.37,185.06,64461854
AAPL,2026-03-31,183.36,183.83,182.25,183.49,21891368
AAPL,2026-04-01,182.16,184.49,181.3,182.77,48603741
AAPL,2026-04-02,179.95,182.44,176.85,179.22,52884498
AAPL,2026-04-03,178.79,180.43,178.58,179.84,37893168
AAPL,2026-04-06,175.6,176.69,174.26,175.94,27750832
AAPL,2026-04-07,173.14,176.45,171.31,174.13,30929362
AAPL,2026-04-08,175.94,177.8,175.59,176.91,67470688
AAPL,2026-04-09,179.13,179.7,178.43,179.47,37885082
AAPL,2026-04-10,181.68,182.14,179.87,181.75,61843177
AAPL,2026-04-13,186.06,187.05,184.49,185.54,43514756
AAPL,2026-04-14,185.89,187.23,185.43,185.87,42571060
AAPL,2026-04-15,184.52,185.4,183.79,185.13,28867170
AAPL,2026-04-16,187.03,189.87,185.72,187.77,64409208
AAPL,2026-04-17,188.33,189.15,187.68,188.79,43490928
AAPL,2026-04-20,189.73,190.17,189.44,189.72,26592595
AAPL,2026-04-21,191.23,191.78,189.73,190.56,58666042
AAPL,2026-04-22,190.74,192.75,189.88,191.39,35666227
AAPL,2026-04-23,191.38,191.92,191.13,191.27,35325555
AAPL,2026-04-24,190.8,191.96,190.44,190.82,56967455
AAPL,2026-04-27,191.18,193.45,190.28,191.77,54776820
AAPL,2026-04-28,193.91,194.32,193.28,193.56,22242632
AAPL,2026-04-29,200.36,200.49,198.96,200.01,32457267
AAPL,2026-04-30,196.68,198.94,196.3,196.93,38758649
AAPL,2026-05-01,198.89,199.87,198.07,198.42,56299122
AAPL,2026-05-04,198.72,199.46,197.05,199.2,69522993
AAPL,2026-05-05,202.88,203.98,201.37,203.21,69341064
AAPL,2026-05-06,203.22,204.49,201.36,204.07,53353598
AAPL,2026-05-07,204.87,205.88,204.77,205.23,28844442
AAPL,2026-05-08,210.51,212.59,209.94,211.08,37896983
AAPL,2026-05-11,213.02,214.94,211.18,212.69,51256973
AAPL,2026-05-12,211.66,213.35,211.06,212.01,69062560
AAPL,2026-05-13,210.32,211.39,208.5,209.72,47088473
AAPL,2026-05-14,211.12,212.73,210.79,211.79,71725222
AAPL,2026-05-15,210.26,211.29,209.04,209.17,71057520
AAPL,2026-05-18,211.69,212.54,209.69,210.76,66812516
AAPL,2026-05-19,210.15,211.5,208.77,210.64,58281638
AAPL,2026-05-20,208.94,209.31,206.86,207.95,68255518
AAPL,2026-05-21,208.97,210.57,207.67,208.53,36147551
AAPL,2026-05-22,211.27,212.58,208.97,210.25,63906234
AAPL,2026-05-25,212.39,214.06,210.12,211.98,38589733
AAPL,2026-05-26,208.72,210.58,207.62,209.62,35759768
AAPL,2026-05-27,208.06,209.15,206.43,208.98,39810485
AAPL,2026-05-28,208.64,210.75,208.35,209.29,22842494
AAPL,2026-05-29,206.09,207.31,204.64,206.01,73671864
AAPL,2026-06-01,199.32,200.94,199.04,199.86,21394290
AAPL,2026-06-02,201.4,203.26,199.38,200.52,29531187
AAPL,2026-06-03,199.59,200.87,198.59,199.19,72517590
AAPL,2026-06-04,197.46,198.86,196.34,197.33,33625204
AAPL,2026-06-05,200.83,201.32,200.7,201.18,67050332
AAPL,2026-06-08,199.09,199.45,197.97,199.15,46040947
AAPL,2026-06-09,198.68,199.74,198.33,198.49,40603693
AAPL,2026-06-10,194.88,196.63,193.51,194.88,28961393
AAPL,2026-06-11,195.64,196.54,194.97,195.56,41349345
AAPL,2026-06-12,193.81,195.06,191.87,193.89,41235645
AAPL,2026-06-15,194.62,195.69,194.5,194.81,64795766
AAPL,2026-06-16,192.55,194.1,191.63,193.09,68260960
AAPL,2026-06-17,195.08,196.62,193.92,195.54,74477782
AAPL,2026-06-18,197.27,198.78,196.64,197.48,71191652
AAPL,2026-06-19,197.51,197.83,194.89,196.94,47788880
AAPL,2026-06-22,199.85,202.43,198.86,200.28,20596070
AAPL,2026-06-23,201.55,203.24,200.13,201.35,36126592
AAPL,2026-06-24,201.32,202.47,199.86,201.06,63428997
AAPL,2026-06-25,201.17,201.67,200.22,201.13,39300325
AAPL,2026-06-26,198.12,199.39,197.4,198.52,25561747
AAPL,2026-06-29,199.68,200.44,199.17,199.35,24666074
AAPL,2026-06-30,197.59,198.99,195.4,197.93,72098671
AAPL,2026-07-01,196.03,197.06,193.8,195.9,26115861
AAPL,2026-07-02,194.49,196.26,194.3,195.37,26534985
AAPL,2026-07-03,196.6,198.76,195.51,196.41,35714164
AAPL,2026-07-06,193.39,196.45,193.26,194.07,73343335
AAPL,2026-07-07,194.88,195.88,194.23,194.82,54616925
AAPL,2026-07-08,194.86,196.34,193.56,194.96,69563690
